"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"656","பெயல் ஆன்று அவிந்த தூங்கு இருள் நடுநாள்,","peyala āṉṟu avinda tūṅku iruḷ naṭunāḷ,","Do not harass her, saying that you saw her go up","Harassment and Rain","Ear-rings and Midnight Lightning","Imagery"
"657","மின்னு நிமிர்ந்தன்ன கனங்குழை இமைப்பப்,","miṉṉu nimirntaṉṉa kaṉaṅkuḻai imaiyppap,","and come down the lookout platform like a peacock","Lookout Platform and Peacock","Thick Earrings and Lightning","Simile"
"658","பின்னு விடு நெறியில் கிளைஇய கூந்தலள்","piṉṉu viṭu neṟiyil kiḷaiyiya kūntalaḷ","coming down the mountain, with her thick earrings","Thick Braided Hair","Mountain and Earrings","Imagery"
"659","வரை இழி மயிலின் ஒல்குவனள் ஒதுங்கி","varai iḻi mayilin oḷkuvaṇaḷ othuṅki","that gleamed like midnight lightning, and spreading, loosely braided hair","Midnight Lightning and Braided Hair","Midnight Lightning","Simile"
"660","மிடை ஊர்பு இழியக் கண்டனென் இவள்’, என","miṭai ūṟpu iḻiyakk kaṇṭaṉeṉ ivaḷ’, eṉa","when heavy rains with roaring thunder and lightning had stopped, and it was pitch dark!","Heavy Rain and Darkness","Pitch Darkness","Imagery"
"661","அலையல், வாழி வேண்டு அன்னை, நம் படப்பைச்","alaiyal, vāḻi vēṇḍu aṉṉai, naṉ paṭappaic","Those who dream in their sleep can get confused","Dreams and Confusion","Dreams","Narrative Reflection"
"662","சூர் உடைச் சிலம்பில் சுடர்ப் பூ வேய்ந்து","cūr uṭaic cilampiḷ cuṭaṟp pū vēyñtu","and feel like they saw in person the gods who wear","Gods and Flowers","Bright Flowers","Imagery"
"663","தாம் வேண்டு உருவின் அணங்குமார் வருமே,","tām vēṇḍu uraviṉ aṇaṅkumār varumē,","bright flowers from our grove and appear in the forms that they desire.","Grove and Desired Forms","Desired Forms","Imagery"
"664","நனவின் வாயே போலத் துஞ்சுநர்க்","naṉaviṉ vāyē pōlat tuñcuṉaṟk","She trembles when she is alone in the dark","Trembling and Darkness","Darkness and Trembling","Imagery"
"665","கனவு ஆண்டு மருட்டலும் உண்டே, இவள் தான்","kaṉavu āṇṭu maṟuṭṭaḷum uṇṭē, ivaḷ tāṉ","and seeks protection due to her fear when the owl","Seeking Protection and Fear","Fear and Protection","Imagery"
"666","சுடர் இன்று தமியளும் பனிக்கும் வெருவர","cuṭar iṉṟu tamiyalum paṉikkum veṟuvara","on the kadampam tree in the common ground hoots.","Owl and Kadampam Tree","Kadampam Tree","Imagery"
"667","மன்ற மராஅத்த கூகை குழறினும்,","maṉṟa marāṟaṯṯa kūkai kuḻaṟiṉum,","On top of that, if she does something, won’t she be","Something and Fear","Something and Fear","Imagery"
"668","நெஞ்சு அழிந்து அரணம் சேரும் அதன்தலைப்","neñcu aḻintu araṇam cēṟum ataṉ talai","afraid of her father, who is in the house abandoning","Father and House","Fear and Abandonment","Imagery"
"669","புலிக் கணத்து அன்ன நாய் தொடர் விட்டு,","pulik kaṇattṯa anna nāy toṭar viṭṭu,","hunting with his pack of dogs that are like a group","Pack of Dogs","Group of Dogs","Simile"
"670","முருகன் அன்ன சீற்றத்துக் கடுந்திறல்","murukaṉ anna cīṟṟatthuk kaḍuntiraḷ","of tigers, and is filled with great rage like Murukan?","Murukan’s Rage","Murukan","Simile"
"671","எந்தையும் இல்லன் ஆக,","eṉṟaiyum illāṉ āka,","Will she not be afraid of this?","Fear and Rage","Rage and Fear","Direct Address"
"672","அஞ்சுவள் அல்லளோ, இவளிது செயலே?","añcuvaḷ allaḷō, ivaḷitu ceyalē?","She will be afraid, won’t she?","Fear and Inaction","Fear","Direct Address"
"673","தெண் கழி விளைந்த வெண்கல் உப்பின்","teṇ kaḻi viḷainta veṇkaḷ uppiṉ","My beloved beautiful friend! Do not","Distress and Separation","White Salt and Strong Oxen","Direct Address"
"674","கொள்ளை சாற்றிய கொடு நுக ஒழுகை","koḷḷai cāṟṟiya koṭu nuka oḻukai","be distressed because your lover left","Lover's Departure and Distress","Oxen and Yokes","Imagery"
"675","உரனுடைச் சுவல பகடு பல பரப்பி","uraṉuṭaic cuvala pakadu pala parappi","on a path where salt merchants who sell white","Salt Merchants and Path","White Salt and Path","Imagery"
"676","உமண் உயிர்த்து இறந்த ஒழிகல் அடுப்பின்,","umaṇ uyirtu iṟanda oḻiṟkal aṭuppiṉ,","grainy salt allow their oxen with strong","Strong Oxen and Abandoned Stoves","Strong Oxen and Stoves","Imagery"
"677","வடியுறு பகழிக் கொடு வில் ஆடவர்","vaḍiyuṟu pakaḻik koṭu vil āṭavar","napes that are tied to their carts with curved","Curved Yokes and Nap","Curved Yokes and Nap","Imagery"
"678","அணங்குடை நோன் சிலை வணங்க வாங்கிப்","aṇaṅkuṭai nōṉ cilai vaṇaṅka vāṅki","yokes to graze, rest and then abandon","Grazing and Resting","Abandoned Stoves","Imagery"
"679","பல் ஆன் நெடுநிரை தழீஇக், கல்லென","pal āṉ neṭuniṟai taḻīīṉk, kaḷḷeṉa","their rock stoves, and vetchi warriors","Rock Stoves and Vetchi Warriors","Rock Stoves","Imagery"
"680","அருமுனை அலைத்த பெரும் புகல் வலத்தர்,","arumuṉai alaitta perum puhal valattar,","wearing leaf garlands, and bearing cruel","Leaf Garlands and Bowmen","Leaf Garlands and Bows","Imagery"
"681","கனை குரல் கடுந்துடிப் பாணி தூங்கி","kaṉai kurala kaḍuntuṭip pāṇi tūṅki","strong bows and sharp arrows, who fight","Sharp Arrows and Harsh Battles","Strong Bows","Imagery"
"682","உவலைக் கண்ணியர், ஊன் புழுக்கு அயரும்","uvalaik kaṇṇiyar, ūṉ puḻukku ayarum","in harsh battles, celebrate their victory","Victory Celebration and Meat Cooking","Victory Celebration","Imagery"
"683","கவலை காதலர் இறந்தனர் என, நனி","kavalai kātalār iṟantanar eṉa, naṉi","after distressing and defeating the karanthai","Karanthai Warriors and Distress","Distress and Defeat","Imagery"
"684","அவலம் கொள்ளன்மா, காதலம் தோழி!","avalam koḷḷaṉumā, kātalam tōḻi!","warriors who came with uproar to retrieve","Uproar and Retrieval","Uproar and Retrieval","Imagery"
"685","விசும்பின் நல் ஏறு சிலைக்கும் சேட்சிமை","vicumpiṉ nal ēṟu cilaikkum cēṭcimai","their huge cow herd, beating loud thudi","Loud Thudi Drums and Cow Herd","Loud Drums","Imagery"
"686","நரும் பூஞ்சாரல் குறும்பொறைக் குணாஅது,","naṟum pūñcāral kuṟumpoṟaik kuṇāḍatu,","drums and dancing to their beats and cooking","Dancing and Meat Cooking","Dancing and Cooking","Imagery"
"687","வில் கெழு தடக்கை வெல் போர் வானவன்","vil keḻu taṭakkai veḷ pōr vāṉavaṉ","meat on the abandoned stoves.","Abandoned Stoves and Meat","Abandoned Stoves","Imagery"
"688","மிஞிறு மூசு கவுள சிறுகண் யானைத்","miṉiṟu mūcu kavaḷa ciṟukaṇ yāṉait","Even if your lover were given splendid Amūr","Splendid Amūr Town","Splendid Town","Imagery"
"689","தொடியுடைத் தட மருப்பு ஒடிய நூறிக்,","toṭiyuṭait taṭa maṟuppu oḍiya nūṟik,","town with tall forts, which is east of Kurumporai Mountain","Kurumporai Mountain and Forts","Tall Forts","Imagery"
"690","கொடுமுடி காக்குங்குரூஉக்கண் நெடுமதில்","koṭumuṭi kākkumkūrūuḳkaṇ neṭumadil","where thunder strikes in the sky above the peaks","Thunder and Peaks","Thunder in the Sky","Imagery"
"691","சேண் விளங்கு சிறப்பின் ஆமூர் எய்தினும்,","cēṇ viḷaṅku ciṟappin āṃūr eytinum,","slopes have fragrant flowers, a splendid place","Fragrant Flowers and Amūr","Fragrant Flowers","Imagery"
"692","ஆண்டு அமைந்து உறையுநர் அல்லர், நின்","āṇṭu amaintu uṟaiyuṉar allār, niṉ","protected by Kodumudi who won a war against","Kodumudi and Cheran","Kodumudi","Imagery"
"693","பூண் தாங்கு ஆகம் பொருந்துதல் மறந்தே.","pūṇ tāṅku ākaṉ poruṉṟutal maṟantē.","victorious Cheran with large hands and a strong bow","Cheran and Kodumudi","Large Hands and Strong Bow","Imagery"
"694","ஒடுங்கு ஈர் ஓதி நினக்கும் அற்றோ?","oṭuṅku īr ōti niṉakkum aṟṟō?","Oh woman with wavy, bright hair! My unfulfilled heart","Unfulfilled Heart and Trembling","Wavy Hair and Trembling Heart","Direct Address"
"695","நடுங்கின்று அளித்து என் நிறை இல் நெஞ்சம்,","naṭuṅkiṉṟu aḷittu eṉ niṟai il neṉcam,","is trembling! It is pitiable! Is it the same for you?","Pity and Comparison","Trembling Heart","Rhetorical Question"
